contrast_index	contrast	sid	word	text	label
c01	01_にじ	01	二字	二字のポスターがある	1
c01	01_にじ	02	虹	虹のポスターがある	0
c02	02_あめ	01	飴	飴が好きです	0
c02	02_あめ	02	雨	雨が好きです	1
c03	03_はし	01	端	端を持っています	0
c03	03_はし	02	箸	箸を持っています	1
c04	04_はし	01	橋	橋が長いです	2
c04	04_はし	02	箸	箸が長いです	1
c05	05_かき	01	柿	柿を見ました	0
c05	05_かき	02	下記	下記を見ました	1
c06	06_いし	01	石	石が固いです	2
c06	06_いし	02	意志	意志が固いです	1
c07	07_きが	01	気が	気が多いですね	0
c07	07_きが	02	木が	木が多いですね	1
c08	08_はなが	01	鼻が	鼻が高いです	0
c08	08_はなが	02	花が	花が高いです	2
c09	09_さけ	01	酒	酒がいいです	0
c09	09_さけ	02	鮭	鮭がいいです	1
c10	10_りょうしん	01	両唇	両唇が大切だ	0
c10	10_りょうしん	02	両親	両親が大切だ	1
c11	11_しめい	01	指名	指名を確認しました	0
c11	11_しめい	02	氏名	氏名を確認しました	1
c12	12_にほん	01	日本	日本があります	2
c12	12_にほん	02	二本	二本があります	1
c13	13_いけん	01	違憲	違憲と聞きました	0
c13	13_いけん	02	意見	意見と聞きました	1
c14	14_かう	01	買う	買う予定だ	0
c14	14_かう	02	飼う	飼う予定だ	1
c15	15_きる	01	着る	着るのが嫌だ	0
c15	15_きる	02	切る	切るのが嫌だ	1
c16	16_かえる	01	変える	変えるはずだ	0
c16	16_かえる	02	帰る	帰るはずだ	1
c17	17_かって	01	買って	買ってしまった	0
c17	17_かって	02	勝って	勝ってしまった	1
c18	18_きて	01	着て	着てください	0
c18	18_きて	02	来て	来てください	1
c19	19_よんで	01	呼んで	呼んでいる	0	
c19	19_よんで	02	読んで	読んでいる	1
c20	20_いつか	01	五日	五日です	0
c20	20_いつか	02	いつか	いつかです	1
c21	21_きって	01	切手	切手ください	0
c21	21_きって	02	切って	切ってください	1
c22	22_あつい	01	厚い	厚いベーコンですね	0
c22	22_あつい	02	熱い	熱いベーコンですね	2
c23	23_はく	01	履く	履くのが大変だ	0
c23	23_はく	02	掃く	掃くのが大変だ	1
c24	24_にじ	01	虹	今日の虹が楽しみです	0
c24	24_にじ	02	二時	今日の二時が楽しみです	1
c25	25_あめ	01	飴	この飴が好きです	0
c25	25_あめ	02	雨	この雨が好きです	1
c26	26_はし	01	端	端を触ってください	0
c26	26_はし	02	箸	箸を触ってください	1
c27	27_はし	01	橋	古い橋が壊れました	2
c27	27_はし	02	箸	古い箸が壊れました	1
c28	28_かき	01	牡蠣	美味しい牡蠣を食べました	1
c28	28_かき	02	柿	美味しい柿を食べました	0
c29	29_いし	01	石	近所の石を探しています	2
c29	29_いし	02	医師	近所の医師を探しています	1
c30	30_きです	01	気です	いい気ですね	0
c30	30_きです	02	木です	いい木ですね	1
c31	31_はなを	01	鼻を	彼の鼻を隠す	0
c31	31_はなを	02	花を	彼の花を隠す	2
c32	32_さけ	01	酒	今夜の酒を出す	0
c32	32_さけ	02	鮭	今夜の鮭を出す	1	6
c33	33_りょうしん	01	両唇	最近両唇を痛めている	0
c33	33_りょうしん	02	良心	最近良心を痛めている	1
c34	34_しめい	01	指名	彼の指名に応える	0
c34	34_しめい	02	使命	彼の使命に応える	1
c35	35_にほん	01	日本	結局日本のを買うことになった	2
c35	35_にほん	02	二本	結局二本のを買うことになった	1
c36	36_いけん	01	違憲	それは違憲と言うの	0
c36	36_いけん	02	意見	それは意見と言うの	1
c37	37_かう	01	買う	ここで買う決心をした	0
c37	37_かう	02	飼う	ここで飼う決心をした	1
c38	38_きる	01	着る	一人で着る練習をする	0	
c38	38_きる	02	切る	一人で切る練習をする	1
c39	39_かえる	01	変える	すぐに変えるつもりです	0
c39	39_かえる	02	帰る	すぐに帰るつもりです	1
c40	40_かって	01	買って	そこで買ってほしいです	0
c40	40_かって	02	勝って	そこで勝ってほしいです	1
c41	41_きて	01	着て	時間をかけて着て怒られた	0
c41	41_きて	02	来て	時間をかけて来て怒られた	1
c42	42_よんで	01	呼んで	名前を呼んで驚いた	0	
c42	42_よんで	02	読んで	名前を読んで驚いた	1
c43	43_いつか	01	五日	来月の五日を待つ	0
c43	43_いつか	02	いつか	来月のいつかを待つ	1
c44	44_きって	01	切手	まずは切手ください	0
c44	44_きって	02	切って	まずは切ってください	1
c45	45_あつい	01	厚い	かなり厚いようです	0
c45	45_あつい	02	暑い	かなり暑いようです	2
c46	46_はく	01	履く	毎日履く習慣がある	0
c46	46_はく	02	掃く	毎日掃く習慣がある	1
