segment_id	utterance_id	onset	offset	duration
jp_S001_c01_01_seg	jp_S001_c01_01	0.183405	0.542038	0.358646
jp_S001_c01_02_seg	jp_S001_c01_02	0.180000	0.560000	0.380000
jp_S001_c02_01_seg	jp_S001_c02_01	0.170000	0.480000	0.310000
jp_S001_c02_02_seg	jp_S001_c02_02	0.170000	0.490000	0.320000
jp_S001_c03_01_seg	jp_S001_c03_01	0.138576	0.566571	0.427979
jp_S001_c03_02_seg	jp_S001_c03_02	0.188019	0.478444	0.290417
jp_S001_c04_01_seg	jp_S001_c04_01	0.090000	0.500000	0.410000
jp_S001_c04_02_seg	jp_S001_c04_02	0.175588	0.445291	0.269708
jp_S001_c05_01_seg	jp_S001_c05_01	0.080000	0.510000	0.430000
jp_S001_c05_02_seg	jp_S001_c05_02	0.121220	0.480880	0.359646
jp_S001_c06_01_seg	jp_S001_c06_01	0.180000	0.510000	0.330000
jp_S001_c06_02_seg	jp_S001_c06_02	0.180000	0.500000	0.320000
jp_S001_c07_01_seg	jp_S001_c07_01	0.085586	0.500843	0.415250
jp_S001_c07_02_seg	jp_S001_c07_02	0.169952	0.534607	0.364646
jp_S001_c08_01_seg	jp_S001_c08_01	0.050000	0.620000	0.570000
jp_S001_c08_02_seg	jp_S001_c08_02	0.070000	0.610000	0.540000
jp_S001_c09_01_seg	jp_S001_c09_01	0.080000	0.600000	0.520000
jp_S001_c09_02_seg	jp_S001_c09_02	0.000000	0.540000	0.540000
jp_S001_c10_01_seg	jp_S001_c10_01	0.160000	0.810000	0.650000
jp_S001_c10_02_seg	jp_S001_c10_02	0.130000	0.830000	0.700000
jp_S001_c11_01_seg	jp_S001_c11_01	0.153985	0.702091	0.548104
jp_S001_c11_02_seg	jp_S001_c11_02	0.155099	0.682374	0.527271
jp_S001_c12_01_seg	jp_S001_c12_01	0.180000	0.680000	0.500000
jp_S001_c12_02_seg	jp_S001_c12_02	0.180000	0.700000	0.520000
jp_S001_c13_01_seg	jp_S001_c13_01	0.160000	0.630000	0.470000
jp_S001_c13_02_seg	jp_S001_c13_02	0.180000	0.650000	0.470000
jp_S001_c14_01_seg	jp_S001_c14_01	0.170000	0.570000	0.400000
jp_S001_c14_02_seg	jp_S001_c14_02	0.160000	0.570000	0.410000
jp_S001_c15_01_seg	jp_S001_c15_01	0.070000	0.460000	0.390000
jp_S001_c15_02_seg	jp_S001_c15_02	0.170000	0.500000	0.330000
jp_S001_c16_01_seg	jp_S001_c16_01	0.160000	0.710000	0.550000
jp_S001_c16_02_seg	jp_S001_c16_02	0.170000	0.640000	0.470000
jp_S001_c17_01_seg	jp_S001_c17_01	0.180000	0.690000	0.510000
jp_S001_c17_02_seg	jp_S001_c17_02	0.160000	0.570000	0.410000
jp_S001_c18_01_seg	jp_S001_c18_01	0.150000	0.430000	0.280000
jp_S001_c18_02_seg	jp_S001_c18_02	0.000000	0.320000	0.320000
jp_S001_c19_01_seg	jp_S001_c19_01	0.180000	0.660000	0.480000
jp_S001_c19_02_seg	jp_S001_c19_02	0.170000	0.690000	0.520000
jp_S001_c20_01_seg	jp_S001_c20_01	0.170000	0.710000	0.540000
jp_S001_c20_02_seg	jp_S001_c20_02	0.180000	0.740000	0.560000
jp_S001_c21_01_seg	jp_S001_c21_01	0.090000	0.590000	0.500000
jp_S001_c21_02_seg	jp_S001_c21_02	0.120000	0.580000	0.460000
jp_S001_c22_01_seg	jp_S001_c22_01	0.170000	0.710000	0.540000
jp_S001_c22_02_seg	jp_S001_c22_02	0.170000	0.710000	0.540000
jp_S001_c23_01_seg	jp_S001_c23_01	0.180000	0.460000	0.280000
jp_S001_c23_02_seg	jp_S001_c23_02	0.080000	0.490000	0.410000
jp_S001_c24_01_seg	jp_S001_c24_01	0.720000	1.070000	0.350000
jp_S001_c24_02_seg	jp_S001_c24_02	0.660000	0.990000	0.330000
jp_S001_c25_01_seg	jp_S001_c25_01	0.570000	0.790000	0.220000
jp_S001_c25_02_seg	jp_S001_c25_02	0.500000	0.730000	0.230000
jp_S001_c26_01_seg	jp_S001_c26_01	0.085869	0.507769	0.421896
jp_S001_c26_02_seg	jp_S001_c26_02	0.180198	0.459934	0.279729
jp_S001_c27_01_seg	jp_S001_c27_01	0.550000	0.880000	0.330000
jp_S001_c27_02_seg	jp_S001_c27_02	0.540000	0.870000	0.330000
jp_S001_c28_01_seg	jp_S001_c28_01	0.760000	1.160000	0.400000
jp_S001_c28_02_seg	jp_S001_c28_02	0.779017	1.122368	0.343354
jp_S001_c29_01_seg	jp_S001_c29_01	0.710000	1.020000	0.310000
jp_S001_c29_02_seg	jp_S001_c29_02	0.693784	0.933463	0.239667
jp_S001_c30_01_seg	jp_S001_c30_01	0.480000	1.040000	0.560000
jp_S001_c30_02_seg	jp_S001_c30_02	0.460000	0.980000	0.520000
jp_S001_c31_01_seg	jp_S001_c31_01	0.600000	1.070000	0.470000
jp_S001_c31_02_seg	jp_S001_c31_02	0.520000	0.970000	0.450000
jp_S001_c32_01_seg	jp_S001_c32_01	0.770000	1.130000	0.360000
jp_S001_c32_02_seg	jp_S001_c32_02	0.740000	1.100000	0.360000
jp_S001_c33_01_seg	jp_S001_c33_01	1.237179	1.842231	0.605042
jp_S001_c33_02_seg	jp_S001_c33_02	1.152720	1.765090	0.612354
jp_S001_c34_01_seg	jp_S001_c34_01	0.590000	1.080000	0.490000
jp_S001_c34_02_seg	jp_S001_c34_02	0.520000	0.950000	0.430000
jp_S001_c35_01_seg	jp_S001_c35_01	0.910000	1.420000	0.510000
jp_S001_c35_02_seg	jp_S001_c35_02	0.960000	1.420000	0.460000
jp_S001_c36_01_seg	jp_S001_c36_01	0.520000	0.930000	0.410000
jp_S001_c36_02_seg	jp_S001_c36_02	0.550000	0.960000	0.410000
jp_S001_c37_01_seg	jp_S001_c37_01	0.540000	0.820000	0.280000
jp_S001_c37_02_seg	jp_S001_c37_02	0.560000	0.850000	0.290000
jp_S001_c38_01_seg	jp_S001_c38_01	0.550000	0.870000	0.320000
jp_S001_c38_02_seg	jp_S001_c38_02	0.630000	0.940000	0.310000
jp_S001_c39_01_seg	jp_S001_c39_01	0.653548	1.068588	0.415042
jp_S001_c39_02_seg	jp_S001_c39_02	0.590000	1.020000	0.430000
jp_S001_c40_01_seg	jp_S001_c40_01	0.580000	0.950000	0.370000
jp_S001_c40_02_seg	jp_S001_c40_02	0.560000	0.960000	0.400000
jp_S001_c41_01_seg	jp_S001_c41_01	1.090000	1.360000	0.270000
jp_S001_c41_02_seg	jp_S001_c41_02	1.133551	1.352068	0.218521
jp_S001_c42_01_seg	jp_S001_c42_01	0.687453	1.036299	0.348833
jp_S001_c42_02_seg	jp_S001_c42_02	0.650000	1.040000	0.390000
jp_S001_c43_01_seg	jp_S001_c43_01	0.806479	1.167738	0.361250
jp_S001_c43_02_seg	jp_S001_c43_02	0.802784	1.194307	0.391521
jp_S001_c44_01_seg	jp_S001_c44_01	0.590000	0.960000	0.370000
jp_S001_c44_02_seg	jp_S001_c44_02	0.560000	0.940000	0.380000
jp_S001_c45_01_seg	jp_S001_c45_01	0.520000	0.950000	0.430000
jp_S001_c45_02_seg	jp_S001_c45_02	0.520000	0.960000	0.440000
jp_S001_c46_01_seg	jp_S001_c46_01	0.700000	1.000000	0.300000
jp_S001_c46_02_seg	jp_S001_c46_02	0.700000	1.000000	0.300000
