model	best_layer	best_error
chinese-hubert-large	15	0.191139
japanese-hubert-large	18	0.194890
wav2vec2-large-xlsr-53	19	0.210455
wavlm_large	10	0.227320
chinese-wav2vec2-base	5	0.238521
chinese-wav2vec2-large	5	0.241550
japanese-hubert-base-k2	6	0.249428
chinese-hubert-base	7	0.251893
wavlm_base	6	0.260807
wav2vec2_large	7	0.266201
japanese-wav2vec2-large	10	0.268428
mhubert-147	5	0.274595
wavlm_base_plus	4	0.290194
wav2vec2_base	4	0.298755
hubert_large	8	0.331162
hubert_base	6	0.332100
japanese-wav2vec2-base	11	0.339644
fbank	-	0.408684
mfcc	-	0.465052
