model	best_layer	best_error
chinese-hubert-large	11	0.222769
japanese-hubert-base-k2	12	0.225326
wav2vec2-large-xlsr-53	10	0.231857
wavlm_large	11	0.232427
japanese-hubert-large	11	0.232879
wav2vec2_large	16	0.235274
mhubert-147	4	0.239407
wav2vec2_base	4	0.242202
wavlm_base	6	0.243081
hubert_base	3	0.243152
chinese-hubert-base	6	0.245020
chinese-wav2vec2-large	6	0.249035
wavlm_base_plus	6	0.250917
chinese-wav2vec2-base	5	0.252225
japanese-wav2vec2-base	12	0.253077
hubert_large	10	0.254531
japanese-wav2vec2-large	6	0.256743
fbank	-	0.330885
mfcc	-	0.357771
