model	best_layer	best_error
chinese-hubert-large	16	0.045919
chinese-wav2vec2-base	5	0.076695
chinese-wav2vec2-large	14	0.077433
chinese-hubert-base	8	0.081847
mhubert-147	3	0.086172
japanese-hubert-large	12	0.086259
wav2vec2-large-xlsr-53	17	0.090621
wav2vec2_large	5	0.092052
wavlm_large	4	0.107587
wavlm_base_plus	3	0.115800
wav2vec2_base	3	0.118070
japanese-hubert-base-k2	4	0.121385
wavlm_base	3	0.127510
japanese-wav2vec2-large	7	0.144429
japanese-wav2vec2-base	7	0.147756
hubert_base	5	0.149554
hubert_large	4	0.170131
fbank	-	0.338143
mfcc	-	0.346369
